IDAT,finalGrps,tay2.Subtype,simplifiedGrps
9326189010newLazer_R01C02,SHH_3A,SHH_alpha,SHH_3
9305651213newLazer_R03C01,SHH_4,SHH_alpha,SHH_4
9305651213newLazer_R05C02,SHH_1,SHH_beta,SHH_1
9344737044_R06C02,SHH_1,SHH_gamma,SHH_1
9344737034_R05C01,SHH_4,SHH_delta,SHH_4
9323071050_R06C01,SHH_4,SHH_delta,SHH_4
9323071026_R02C01,SHH_4,SHH_delta,SHH_4
9323071026_R04C02,SHH_4,SHH_alpha,SHH_4
9344737034_R06C01,SHH_4,SHH_delta,SHH_4
9323071058_R05C02,SHH_4,SHH_delta,SHH_4
9323071066_R03C01,SHH_1,SHH_beta,SHH_1
9323071066_R05C02,SHH_4,SHH_gamma,SHH_4
9323071003_R03C02,SHH_4,SHH_gamma,SHH_4
9323071026_R05C01,SHH_4,SHH_delta,SHH_4
9344737034_R01C01,SHH_4,SHH_delta,SHH_4
9323071069_R02C01,SHH_2,SHH_gamma,SHH_2
9344737034_R04C02,SHH_4,SHH_delta,SHH_4
9323071058_R01C02,SHH_4,SHH_delta,SHH_4
