hgnc_symbol,affected_region_count,chromosome_count,maximum_sample_count,total_annotation_records,present_in_cancer_gene_census,census_tier,role_in_cancer,tumour_types_somatic,tumour_types_germline,mutation_types
CREB1,52,1,3,52,TRUE,1,"oncogene, fusion","clear cell sarcoma, angiomatoid fibrous histiocytoma",,T
GRIN2A,52,1,3,52,TRUE,1,TSG,"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma",,"Mis, N, F, O"
HOXC11,52,1,3,52,TRUE,1,"oncogene, fusion",AML,,T
HOXC13,52,1,3,52,TRUE,1,"oncogene, fusion",AML,,T
IDH1,52,1,3,52,TRUE,1,oncogene,glioblastoma,,Mis
SOCS1,52,1,3,52,TRUE,1,TSG,"Hodgkin lymphoma, PMBL",,"F, O"
NAB2,51,1,3,51,TRUE,1,"TSG, fusion","solitary fibrous tumour, meningeal haemangiopericytoma",,T
STAT6,51,1,3,51,TRUE,1,"oncogene, fusion","solitary fibrous tumour, meningeal haemangiopericytoma",,T
TBL1XR1,51,1,7,51,TRUE,1,"oncogene, TSG, fusion","splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma",,"F, Mis"
RPS2,50,1,2,50,FALSE,,,,,
TFEB,50,1,3,50,TRUE,1,"oncogene, fusion",renal cell carcinoma (childhood epithelioid),,T
TRAF7,50,1,2,50,TRUE,1,TSG,meningioma,,Mis
CASP8,49,1,4,49,TRUE,1,TSG,"hepatocellular, oral squamous cell, breast",,"N, S, F"
CCND3,49,1,3,49,TRUE,1,"oncogene, fusion",MM,,T
DDB2,49,1,5,49,TRUE,1,"oncogene, TSG",,"skin basal cell, skin squamous cell, melanoma","Mis, N"
CHCHD7,48,1,3,48,TRUE,1,fusion,salivary adenoma,,T
DAXX,48,1,2,48,TRUE,1,"oncogene, TSG","pancreatic neuroendocrine tumour, paediatric glioblastoma",,"Mis, F, N"
EXT2,48,1,5,48,TRUE,1,TSG,,"exostoses, osteosarcoma","Mis, N, F, S"
NACA,48,1,3,48,TRUE,2,fusion,NHL,,T
PLAG1,48,1,3,48,TRUE,1,"oncogene, fusion","salivary adenoma, lipoblastoma",,T
CDK4,47,1,3,47,TRUE,1,oncogene,,melanoma,Mis
SNX29,47,1,3,47,TRUE,2,fusion,"PMBL, Hodgkin lymphoma",,T
ACVR1,46,1,4,46,TRUE,1,oncogene,DIPG,,Mis
CREB3L1,46,1,5,46,TRUE,1,"TSG, fusion",myxofibrosarcoma,,T
DDIT3,46,1,3,46,TRUE,1,"oncogene, fusion",liposarcoma,,T
LRIG3,46,1,3,46,TRUE,1,"TSG, fusion",NSCLC,,T
MYH11,46,1,3,46,TRUE,1,fusion,AML,,T
TCEA1,46,1,3,46,TRUE,1,fusion,salivary adenoma,,T
HSP90AB1,45,1,1,45,TRUE,1,fusion,NHL,,T
MEN1,45,1,2,45,TRUE,1,TSG,"parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid","D, Mis, N, F, S"
NFKBIE,45,1,1,45,TRUE,1,TSG,"CLL, desmoplastic melanoma",,"F, Mis"
PMS1,45,1,4,45,TRUE,2,,,"colorectal, endometrial, ovarian","Mis, N"
TNFRSF17,45,1,3,45,TRUE,1,"oncogene, fusion",intestinal T-cell lymphoma,,T
