hgnc_symbol,affected_region_count,chromosome_count,maximum_sample_count,total_annotation_records,present_in_cancer_gene_census,census_tier,role_in_cancer,tumour_types_somatic,tumour_types_germline,mutation_types
ACSL6,142,1,4,142,TRUE,2,fusion,"AML, AEL",,T
CTNNB1,142,1,8,142,TRUE,1,"oncogene, fusion","colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types",,"Mis, O, T"
MLH1,142,1,8,142,TRUE,1,TSG,"colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","D, Mis, N, F, S"
MYD88,142,1,8,142,TRUE,1,oncogene,ABC-DLBCL,,Mis
GNAQ,141,1,11,141,TRUE,1,oncogene,"uveal melanoma, primary central nervous system melanocytic neoplasms",,Mis
KLF4,141,1,11,141,TRUE,1,"oncogene, TSG",meningioma,,Mis
SMARCA4,141,1,4,141,TRUE,1,TSG,"NSCLC, SCCOHT",,"F, N, Mis, S"
TCF3,141,1,4,141,TRUE,1,"oncogene, TSG, fusion",pre B-ALL,,T
ARHGAP26,140,1,4,140,TRUE,1,"TSG, fusion","AML, MDS",,"T, F, S"
DOT1L,140,1,4,140,FALSE,,,,,
NR4A3,140,1,11,140,TRUE,1,"oncogene, fusion",extraskeletal myxoid chondrosarcoma,,T
TAL2,140,1,11,140,TRUE,1,"oncogene, fusion",T-ALL,,T
XPC,140,1,8,140,TRUE,1,TSG,,"skin basal cell, skin squamous cell, melanoma","Mis, N, F, S"
ZNF483,140,1,11,140,FALSE,,,,,
FANCC,139,1,11,139,TRUE,1,TSG,,"AML, leukaemia","D, Mis, N, F, S"
FSTL3,139,1,4,139,TRUE,1,"oncogene, fusion",B-CLL,,T
SH3GL1,139,1,4,139,TRUE,1,"oncogene, fusion",AL,,T
XPA,139,1,11,139,TRUE,1,TSG,,"skin basal cell, skin squamous cell, melanoma","Mis, N, F, S"
FANCD2,138,1,8,138,TRUE,1,TSG,,"AML, leukaemia","D, Mis, N, F"
GNA11,138,1,4,138,TRUE,1,oncogene,"uveal melanoma, primary central nervous system melanocytic neoplasms",,Mis
MLLT1,138,1,4,138,TRUE,1,fusion,AL,,T
MLLT3,138,1,28,138,TRUE,1,fusion,ALL,,T
PPARG,138,1,8,138,TRUE,1,"TSG, fusion",follicular thyroid,,T
PSIP1,138,1,28,138,TRUE,1,"oncogene, fusion",AML,,T
PTCH1,138,1,11,138,TRUE,1,TSG,"skin basal cell, medulloblastoma","skin basal cell, medulloblastoma","Mis, N, F, S"
RAF1,138,1,8,138,TRUE,1,"oncogene, fusion","pilocytic astrocytoma, prostate",,"T, A"
SRGAP3,138,1,8,138,TRUE,2,fusion,pilocytic astrocytoma,,T
SYK,138,1,11,138,TRUE,1,"oncogene, fusion","MDS, peripheral T-cell lymphoma",,T
VHL,138,1,8,138,TRUE,1,TSG,"renal, haemangioma, pheochromocytoma","renal, haemangioma, pheochromocytoma","D, Mis, N, F, S"
CALR,136,1,4,136,TRUE,1,oncogene,"MPN, MDS",,"F, Mis"
LYL1,136,1,4,136,TRUE,1,"oncogene, fusion",T-ALL,,T
MAP2K2,135,1,4,135,TRUE,1,oncogene,"NSCLC, melanoma",,Mis
OMD,134,1,11,134,TRUE,2,fusion,aneurysmal bone cyst,,T
RASA1,134,1,4,134,FALSE,,,,,
BHMT2,130,1,4,130,FALSE,,,,,
PIK3R1,130,1,4,130,TRUE,1,TSG,"glioblastoma, ovarian, colorectal",,"Mis, F, O"
BRD4,129,1,4,129,TRUE,1,"oncogene, fusion",lethal midline carcinoma of young people,,T
JAK2,128,1,28,128,TRUE,1,"oncogene, fusion","ALL, AML, MPN,  CML",,"T, Mis, O"
NFIB,128,1,28,128,TRUE,1,fusion,"adenoid cystic carcinoma, lipoma",,T
CD274,127,1,28,127,TRUE,1,"TSG, fusion","PMBL, Hodgkin lymphoma",,T
PDCD1LG2,127,1,28,127,TRUE,1,"oncogene, fusion","PMBL, Hodgkin lymphoma",,T
CD74,125,1,6,125,TRUE,1,"oncogene, fusion",NSCLC,,T
ITK,125,1,4,125,TRUE,1,fusion,peripheral T-cell lymphoma,,T
PDGFRB,125,1,6,125,TRUE,1,"oncogene, fusion","MPN, AML, CMML, CML",,T
PWWP2A,123,1,4,123,TRUE,2,fusion,Spitzoid tumour,,T
EBF1,122,1,4,122,TRUE,1,"TSG, fusion",lipoma,,T
FGFR4,119,1,4,119,TRUE,1,oncogene,rhabdomyosarcoma,,Mis
NSD1,119,1,4,119,TRUE,1,fusion,AML,,T
NPM1,117,1,4,117,TRUE,1,"oncogene, fusion","NHL, APL, AML",,"T, F"
RANBP17,117,1,4,117,FALSE,,,,,
TLX3,117,1,4,117,TRUE,1,"oncogene, fusion",T-ALL,,T
TPM4,116,1,4,116,TRUE,1,fusion,ALCL,,T
FGFR1,114,1,6,114,TRUE,1,"oncogene, fusion","MPN, NHL, salivary adenoma",,T
PLXNB2,113,1,8,113,FALSE,,,,,
FAS,112,1,2,112,TRUE,1,TSG,"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related",,Mis
APOL2,111,1,8,111,FALSE,,,,,
BCOR,111,1,40,111,TRUE,1,"TSG, fusion","retinoblastoma, AML, APL (translocation)",,"F, N, S, T"
BMPR1A,111,1,2,111,TRUE,1,"oncogene, TSG",,gastrointestinal polyps,"Mis, N, F"
EP300,111,1,8,111,TRUE,1,"TSG, fusion","colorectal, breast, pancreatic, AML, ALL, DLBCL",,"T,  N, F, Mis, O"
FLT4,111,1,4,111,TRUE,1,oncogene,soft tissue sarcoma,,A
MYH9,111,1,8,111,TRUE,1,"TSG, fusion",ALCL,,T
NUTM2A,111,1,2,111,FALSE,,,,,
PTEN,111,1,2,111,TRUE,1,TSG,"glioma, prostate, endometrial","harmartoma, glioma, prostate, endometrial","D, Mis, N, F, S"
PDGFB,110,1,8,110,TRUE,1,"oncogene, fusion",DFSP,,T
ELL,109,1,4,109,TRUE,1,"TSG, fusion",AL,,T
JAK3,109,1,4,109,TRUE,1,oncogene,"acute megakaryocytic leukaemia, ETP ALL",,Mis
CRTC1,108,1,4,108,TRUE,1,"oncogene, fusion",salivary gland mucoepidermoid,,T
GATA1,108,1,40,108,TRUE,1,"oncogene, TSG",megakaryoblastic leukaemia of Downs syndrome,,"Mis, F"
SSX4,108,1,40,108,TRUE,1,"oncogene, fusion",synovial sarcoma,,T
TFE3,108,1,40,108,TRUE,1,"oncogene, fusion","papillary renal, alveolar soft part sarcoma, renal",,T
WAS,108,1,40,108,TRUE,1,oncogene,,lymphoma,"Mis, N, F, S"
KDM5C,107,1,40,107,TRUE,1,TSG,clear cell renal carcinoma,,"N, F, S, Mis"
NF2,107,1,8,107,TRUE,1,TSG,"meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma","D, Mis, N, F, S, O"
NUTM2B,107,1,3,107,TRUE,1,fusion,endometrial stromal sarcoma,,T
SSX2,107,1,40,107,TRUE,1,"oncogene, fusion",synovial sarcoma,,T
DDX3X,106,1,40,106,TRUE,1,TSG,"CLL, medulloblastoma",,"Mis, N, F"
FGFR2,106,1,2,106,TRUE,1,"oncogene, fusion","gastric, NSCLC, endometrial",,Mis
RBM10,106,1,40,106,TRUE,1,TSG,lung adenocarcinoma,,"Mis, F, N"
SMC3,106,1,2,106,FALSE,,,,,
SSX1,106,1,40,106,TRUE,1,"oncogene, fusion",synovial sarcoma,,T
TLX1,106,1,2,106,TRUE,1,"oncogene, fusion",T-ALL,,T
FAT1,105,1,4,105,TRUE,1,TSG,"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma",pancreatic,"Mis, N, F, S"
IL6ST,105,1,4,105,TRUE,1,oncogene,hepatocellular carcinoma,,O
TCF7L2,105,1,2,105,TRUE,1,"oncogene, fusion",colorectal,,T
VTI1A,105,1,2,105,TRUE,2,fusion,colorectal,,T
KDM6A,104,1,40,104,TRUE,1,"oncogene, TSG","renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types",,"D, N, F, S"
SDHB,104,1,2,104,TRUE,1,TSG,,"paraganglioma, pheochromocytoma","Mis, N, F"
SHTN1,104,1,2,104,TRUE,2,fusion,Spitzoid tumour,,T
IL2,103,1,3,103,TRUE,1,fusion,intestinal T-cell lymphoma,,T
KAT6B,103,1,3,103,TRUE,1,"TSG, fusion","AML, leiomyoma",,T
NFKB2,103,1,2,103,TRUE,1,"oncogene, TSG, fusion",B-NHL,,T
NT5C2,103,1,2,103,TRUE,1,oncogene,relapse ALL,,Mis
SUFU,103,1,2,103,TRUE,1,TSG,medulloblastoma,medulloblastoma,"D, F, S"
HRAS,102,1,3,102,TRUE,1,oncogene,"infrequent sarcomas, rare other tumour types","rhabdomyosarcoma, ganglioneuroblastoma, bladder",Mis
MAP3K1,102,1,4,102,TRUE,1,"oncogene, TSG",luminal A breast,,"N, F, Mis, O, S"
PRDM16,102,1,4,102,TRUE,1,"oncogene, fusion","MDS, AML",,T
FBXW7,100,1,4,100,TRUE,1,TSG,"colorectal, endometrial, T-ALL",,"Mis, N, D, F"
PATZ1,100,1,8,100,TRUE,1,"TSG, fusion",Ewing sarcoma,,T
PRF1,99,1,3,99,TRUE,1,TSG,,"various leukaemia, lymphoma",M
TET1,99,1,3,99,TRUE,1,"oncogene, TSG, fusion",AML,,T
BCR,98,1,8,98,TRUE,1,fusion,"CML, ALL, AML",,T
CCDC6,98,1,3,98,TRUE,1,"TSG, fusion","papillary thyroid, CML, NSCLC",,T
CHEK2,98,1,8,98,TRUE,1,TSG,,breast,F
EWSR1,98,1,8,98,TRUE,1,"oncogene, fusion","Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma",,T
ZRSR2,98,1,40,98,TRUE,1,TSG,"MDS, CLL",,"F, S, Mis"
MN1,97,1,8,97,TRUE,1,"oncogene, fusion","AML, MDS",,T
DUX4L1,96,1,4,96,TRUE,2,fusion,soft tissue sarcoma,,T
NUP98,96,1,3,96,TRUE,1,"oncogene, fusion",AML,,T
PLCG2,96,1,12,96,FALSE,,,,,
PPP3CA,96,1,3,96,FALSE,,,,,
RAP1GDS1,96,1,3,96,TRUE,1,"oncogene, fusion",T-ALL,,T
STIM1,95,1,3,95,FALSE,,,,,
INTS12,94,1,3,94,FALSE,,,,,
RPL22,94,1,4,94,TRUE,1,"TSG, fusion","AML, CML",,T
TET2,94,1,3,94,TRUE,1,TSG,MDS,,"Mis, N, F"
ZMYM2,94,1,13,94,TRUE,1,fusion,"MPN, NHL",,T
CDK12,93,1,3,93,TRUE,1,TSG,serous ovarian,,"Mis, N, F"
ERBB2,93,1,3,93,TRUE,1,"oncogene, fusion","breast, ovarian, other tumour types, NSCLC, gastric",,"A, Mis, O"
KAT6A,93,1,6,93,TRUE,1,"oncogene, fusion",AML,,"T, A"
PTPRK,93,1,3,93,TRUE,1,"TSG, fusion",colorectal,,T
RNF217-AS1,93,1,3,93,FALSE,,,,,
BRCA1,92,1,3,92,TRUE,1,TSG,ovarian,"breast, ovarian","D, Mis, N, F, S"
CAMTA1,92,1,3,92,TRUE,1,"TSG, fusion",epithelioid haemangioendothelioma,,T
ETV4,92,1,3,92,TRUE,1,"oncogene, fusion","Ewing sarcoma, prostate carcinoma",,T
FANCG,92,1,28,92,TRUE,1,TSG,,"AML, leukaemia","Mis, N, F, S"
FLT3,92,1,13,92,TRUE,1,oncogene,"AML, ALL",,"Mis, O"
LMO1,92,1,3,92,TRUE,1,"oncogene, fusion","T-ALL, neuroblastoma",neuroblastoma,"T, A"
MTOR,92,1,2,92,TRUE,1,oncogene,"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types",,"Mis, N"
NBPF1,92,1,2,92,FALSE,,,,,
PRDM1,92,1,3,92,TRUE,1,TSG,DLBCL,,"D, N, Mis, F, S"
RSPO3,92,1,3,92,TRUE,1,"oncogene, fusion",colorectal,,T
SMARCB1,92,1,8,92,TRUE,1,TSG,malignant rhabdoid,malignant rhabdoid,"D, N, F, S"
CBFA2T3,91,1,12,91,TRUE,1,"TSG, fusion",AML,,T
CDX2,91,1,13,91,TRUE,1,"TSG, fusion",AML,,T
FOXO3,91,1,3,91,TRUE,1,"oncogene, TSG, fusion",AL,,T
MGA,91,1,7,91,FALSE,,,,,
RARA,91,1,3,91,TRUE,1,"oncogene, fusion",APL,,T
RBM15,91,1,3,91,TRUE,1,fusion,acute megakaryocytic leukaemia,,T
SMARCE1,91,1,3,91,TRUE,1,TSG,,meningioma,"F, Mis, N"
AFF1,90,1,3,90,TRUE,1,fusion,AL,,T
EZH1,90,1,3,90,FALSE,,,,,
GOPC,90,1,3,90,TRUE,1,fusion,"glioblastoma, cholangiocarcinoma, borderline ovarian",,T
MAF,90,1,12,90,TRUE,1,"oncogene, fusion",MM,,T
POLE,90,1,4,90,TRUE,1,TSG,"colorectal carcinoma, endometrioid carcinoma, stomach carcinoma, skin cancer",colorectal cancer susceptibility,Mis
SPEN,90,1,2,90,TRUE,1,TSG,"SMZL, adenoid cystic carcinoma, DLBCL",,"F, Mis, N"
FOXO1,89,1,13,89,TRUE,1,"oncogene, TSG, fusion",alveolar rhabdomyosarcoma,,T
PAX5,89,1,28,89,TRUE,1,"oncogene, TSG, fusion","NHL, ALL, B-ALL",,"T, Mis, D, F, S"
ROS1,89,1,3,89,TRUE,1,"oncogene, fusion","glioblastoma, NSCLC, Spitzoid tumour, cholangiocarcinoma, borderline ovarian",,T
STAT3,89,1,3,89,TRUE,1,oncogene,T-cell large granular lymphocytic leukaemia,paediatric large granular lymphocytic leukaemia,"Mis,O"
STAT5B,89,1,3,89,TRUE,1,"oncogene, TSG, fusion","large granular lymphocytic leukaemia, skin basal cell, APL",,"Mis, O, T"
TNFRSF14,89,1,4,89,TRUE,1,TSG,follicular lymphoma,,"Mis, N, F"
ARID1A,88,1,2,88,TRUE,1,"TSG, fusion","clear cell ovarian carcinoma, RCC, breast",,"Mis, N, F, S, D, T"
BCL7A,88,1,4,88,TRUE,1,fusion,BNHL,,T
BRCA2,88,1,13,88,TRUE,1,TSG,"breast, ovarian, pancreatic","breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)","D, Mis, N, F, S"
CLIP1,88,1,4,88,TRUE,1,fusion,Spitzoid tumour,,T
HNF1A,88,1,4,88,TRUE,1,TSG,"hepatic adenoma, hepatocellular","hepatic adenoma, hepatocellular carcinoma","Mis, F"
NF1,88,1,3,88,TRUE,1,"TSG, fusion","neurofibroma, glioma","neurofibroma, glioma","D, Mis, N, F, S, O"
NRAS,88,1,4,88,TRUE,1,oncogene,"melanoma, MM, AML, thyroid",,Mis
TRIM33,88,1,4,88,TRUE,1,"TSG, fusion",papillary thyroid,,T
ZCCHC8,88,1,4,88,TRUE,2,fusion,Spitzoid tumour,,T
B2M,87,1,4,87,TRUE,1,TSG,"DLBCL, melanoma, colorectal adenocarcinoma",,"Mis, N, F"
CNKSR1,87,1,2,87,FALSE,,,,,
ESR1,87,1,3,87,TRUE,1,"oncogene, TSG, fusion",breast,,Mis
EZR,87,1,3,87,TRUE,1,fusion,NSCLC,,T
HMGN2P46,87,1,4,87,TRUE,2,fusion,prostate,,T
LATS1,87,1,3,87,TRUE,1,TSG,skin basal cell carcinoma,,"Mis, N"
PAX7,87,1,2,87,TRUE,1,fusion,alveolar rhabdomyosarcoma,,T
TP53BP1,87,1,7,87,FALSE,,,,,
ARID1B,86,1,3,86,TRUE,1,TSG,"breast, hepatocellular carcinoma, clear cell ovarian carcinoma",,"Mis, F, N, O"
ATP1A1,86,1,4,86,TRUE,1,"oncogene, TSG",adrenal aldosterone producing adenoma,,"Mis, O"
IKBKB,86,1,6,86,TRUE,1,oncogene,SMZL,,Mis
MDS2,86,1,2,86,TRUE,2,fusion,MDS,,T
NUTM1,86,1,7,86,TRUE,1,"oncogene, fusion",lethal midline carcinoma,,T
SS18,86,1,8,86,TRUE,1,fusion,synovial sarcoma,,T
STX2,86,1,4,86,FALSE,,,,,
ZNF521,86,1,8,86,TRUE,1,"oncogene, fusion",ALL,,T
BUB1B,85,1,7,85,TRUE,1,TSG,,rhabdomyosarcoma,"Mis, N, F, S"
GNPTAB,85,1,4,85,FALSE,,,,,
HOOK3,85,1,6,85,TRUE,1,fusion,papillary thyroid,,T
LASP1,85,1,3,85,TRUE,1,fusion,AML,,T
RNF213,85,1,3,85,TRUE,1,fusion,ALCL,,T
TBX3,85,1,4,85,TRUE,1,"oncogene, TSG","breast, large intestine, skin",,"Mis, N, F, O"
ALDH2,84,1,4,84,TRUE,2,fusion,leiomyoma,,T
BCLAF1,84,1,3,84,TRUE,2,,"melanoma, SCC",,Mis
ECT2L,84,1,3,84,TRUE,2,,ETP ALL,,"N, S, Mis"
MLLT6,84,1,3,84,TRUE,1,fusion,AL,,T
MYB,84,1,3,84,TRUE,1,"oncogene, fusion",adenoid cystic carcinoma,,T
SH2B3,84,1,4,84,TRUE,1,TSG,"MPN, sAML, erythrocytosis, B-ALL",,"Mis, F, N"
MYOD1,83,1,3,83,TRUE,1,oncogene,embryonal rhabdomyosarcoma,,Mis
ODAM,83,1,3,83,FALSE,,,,,
PTPN11,83,1,4,83,TRUE,1,oncogene,"JMML, AML, MDS",,Mis
SUZ12,83,1,3,83,TRUE,1,"oncogene, TSG, fusion",endometrial stromal tumour,,T
TAF15,83,1,3,83,TRUE,1,"oncogene, fusion","extraskeletal myxoid chondrosarcoma, ALL",,T
TNFAIP3,83,1,3,83,TRUE,1,TSG,"marginal zone B-cell lymphomas, Hodgkin lymphoma, PMBL",,"D, N, F"
FANCA,82,1,12,82,TRUE,1,TSG,,"AML, leukaemia","D, Mis, N, F, S"
MYO5A,82,1,4,82,TRUE,1,fusion,Spitzoid tumour,,T
NCOA4,82,1,3,82,TRUE,1,"TSG, fusion",papillary thyroid,,T
RAD51B,82,1,3,82,TRUE,1,"TSG, fusion","lipoma, uterine leiomyoma",,T
SETBP1,82,1,14,82,TRUE,1,"oncogene, fusion","aCML, sAML, MDS/MPN-U, CMML, JMML",neuroepithelial tumours,"Mis, T"
CANT1,81,1,3,81,TRUE,1,fusion,prostate,,T
MBD1,81,1,14,81,FALSE,,,,,
SMAD4,81,1,14,81,TRUE,1,TSG,"colorectal, pancreatic, small intestine",gastrointestinal polyp,"D, Mis, N, F"
ERCC5,80,1,21,80,TRUE,1,TSG,,"skin basal cell, skin squamous cell, melanoma","Mis, N, F"
FGFBP1,80,1,4,80,FALSE,,,,,
GATA3,80,1,3,80,TRUE,1,"oncogene, TSG",breast,,"F, N, S"
U2AF1,80,1,4,80,TRUE,1,oncogene,"CLL, MDS",,Mis
ZNF331,80,1,4,80,TRUE,1,"TSG, fusion",follicular thyroid adenoma,,T
AKT1,79,1,3,79,TRUE,1,oncogene,"breast, colorectal, ovarian, NSCLC",,Mis
BCL11B,79,1,3,79,TRUE,1,"oncogene, TSG, fusion",T-ALL,,T
BTG1,79,1,4,79,TRUE,1,"TSG, fusion",B-CLL,,T
CDKN1B,79,1,5,79,TRUE,1,TSG,"breast, small intestine neuroendocrine tumours","pituitary, parathyroid",F
ETV6,79,1,5,79,TRUE,1,"TSG, fusion","congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS",,T
PPP2R1A,79,1,4,79,TRUE,1,TSG,clear cell ovarian carcinoma,,Mis
RET,79,1,3,79,TRUE,1,"oncogene, fusion","medullary thyroid, papillary thyroid, pheochromocytoma, NSCLC, Spitzoid tumour","medullary thyroid,  papillary thyroid, pheochromocytoma","T, Mis, N, F"
SDHD,79,1,5,79,TRUE,1,TSG,,"paraganglioma, pheochromocytoma","Mis, N, F, S"
SRSF2,79,1,3,79,TRUE,1,oncogene,"MDS, CLL",,Mis
TMPRSS2,79,1,4,79,TRUE,1,fusion,prostate,,T
ZBTB16,79,1,5,79,TRUE,1,"TSG, fusion",APL,,T
ZFP36L1,79,1,3,79,FALSE,,,,,
ARHGAP35,78,1,4,78,FALSE,,,,,
CLTC,78,1,3,78,TRUE,1,"TSG, fusion","ALCL, renal",,T
CLTCL1,78,1,8,78,TRUE,1,"TSG, fusion",ALCL,,T
DICER1,78,1,3,78,TRUE,1,TSG,"sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types",pleuropulmonary blastoma,"Mis, F, N"
GOLGA5,78,1,3,78,TRUE,1,fusion,"papillary thyroid, Spitzoid tumour",,T
HLF,78,1,3,78,TRUE,1,"oncogene, fusion",ALL,,T
ITGBL1,78,1,21,78,FALSE,,,,,
JUN,78,1,3,78,TRUE,1,oncogene,sarcoma,,A
MSI2,78,1,3,78,TRUE,1,"oncogene, fusion",CML,,T
OMA1,78,1,3,78,FALSE,,,,,
POU2AF1,78,1,5,78,TRUE,1,"oncogene, fusion",NHL,,T
PTPRU,78,1,2,78,FALSE,,,,,
RPL5,78,1,3,78,TRUE,1,TSG,T-ALL,,"Mis, N, F"
RUNX1,78,1,4,78,TRUE,1,"oncogene, TSG, fusion","AML, pre B-ALL, T-ALL",,T
TCL1A,78,1,3,78,TRUE,1,"oncogene, fusion",T-CLL,,T
TCL6,78,1,3,78,FALSE,,,,,
TRIP11,78,1,3,78,TRUE,1,fusion,AML,,T
BCL10,77,1,3,77,TRUE,1,"TSG, fusion",MALT,,T
CBFB,77,1,12,77,TRUE,1,"TSG, fusion",AML,,T
CHD4,77,1,5,77,TRUE,1,oncogene,uterine serous carcinoma,,"Mis, F, N"
ERG,77,1,4,77,TRUE,1,"oncogene, fusion","Ewing sarcoma, prostate, AML",,"T, A"
KLK2,77,1,4,77,TRUE,1,fusion,prostate,,T
LCP1,77,1,13,77,TRUE,2,fusion,NHL,,T
PAFAH1B2,77,1,9,77,TRUE,1,fusion,MLCLS,,T
SLC34A2,77,1,4,77,TRUE,1,"TSG, fusion",NSCLC,,T
TFG,77,1,5,77,TRUE,1,fusion,"papillary thyroid, ALCL, NSCLC, extraskeletal myxoid chondrosarcoma",,T
TSHR,77,1,3,77,TRUE,1,oncogene,toxic thyroid adenoma,thyroid adenoma,Mis
ZNF384,77,1,5,77,TRUE,1,fusion,ALL,,T
ATF7IP,76,1,7,76,FALSE,,,,,
ATM,76,1,5,76,TRUE,1,TSG,T-PLL,"leukaemia, lymphoma, medulloblastoma, glioma","D, Mis, N, F, S"
CDH11,76,1,12,76,TRUE,1,"TSG, fusion",aneurysmal bone cyst,,T
CTCF,76,1,12,76,TRUE,1,TSG,"endometrial, breast, head and neck cancer",,"Mis, N"
DDX10,76,1,5,76,TRUE,1,"TSG, fusion",AML*,,T
FANCF,76,1,4,76,TRUE,1,TSG,,"AML, leukaemia","N, F"
PCSK7,76,1,9,76,FALSE,,,,,
CD79B,75,1,3,75,TRUE,1,oncogene,"DLBCL, WM",,"Mis, S"
KLF5,75,1,13,75,FALSE,,,,,
LCK,75,1,2,75,TRUE,1,"oncogene, fusion",T-ALL,,T
MALT1,75,1,14,75,TRUE,1,"oncogene, fusion",MALT,,T
OLIG2,75,1,4,75,TRUE,1,"oncogene, fusion",T-ALL,,T
RB1,75,1,13,75,TRUE,1,TSG,"retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma","D, Mis, N, F, S"
CBL,74,1,9,74,TRUE,1,"oncogene, TSG, fusion","AML, JMML, MDS",,"T, Mis, S, O"
CDH1,74,1,12,74,TRUE,1,TSG,"lobular breast, gastric",gastric,"Mis, N, F, S"
CMTR2,74,1,12,74,FALSE,,,,,
FUBP1,74,1,3,74,TRUE,1,oncogene,oligodendroglioma,,"F, N"
HSP90AA1,74,1,3,74,TRUE,1,fusion,NHL,,T
MAX,74,1,3,74,TRUE,1,TSG,"pheochromocytoma, endometrioid carcinoma, colon carcinoma",pheochromocytoma,"Mis, N, F"
PRKAR1A,74,1,3,74,TRUE,1,"oncogene, TSG, fusion",papillary thyroid,"myxoma, endocrine, papillary thyroid","T, Mis, N, F, S"
TCF12,74,1,4,74,TRUE,1,fusion,extraskeletal myxoid chondrosarcoma,,T
CNOT3,73,1,4,73,TRUE,1,TSG,T-ALL,,"Mis, N, F"
DDX5,73,1,3,73,TRUE,1,"oncogene, fusion",prostate,,T
DDX6,73,1,9,73,TRUE,1,"oncogene, fusion",B-NHL,,T
DEK,73,1,2,73,TRUE,1,"oncogene, fusion",AML,,T
GPHN,73,1,3,73,TRUE,1,fusion,AL,,T
KMT2A,73,1,9,73,TRUE,1,"oncogene, fusion","AML, ALL",,"T, O"
MLLT10,73,1,3,73,TRUE,1,"oncogene, fusion",AL,,T
NOTCH2,73,1,4,73,TRUE,1,"oncogene, TSG","marginal zone lymphoma, DLBCL, bladder",,"N, F, Mis"
TFPT,73,1,4,73,TRUE,2,fusion,pre-B ALL,,T
ABI1,72,1,3,72,TRUE,1,"TSG, fusion",AML,,T
ARHGEF12,72,1,9,72,TRUE,1,"TSG, fusion",AML,,T
BRIP1,72,1,3,72,TRUE,1,TSG,,"AML, leukaemia, breast","F, N, Mis"
CCND2,72,1,5,72,TRUE,1,"oncogene, fusion","NHL,CLL",,T
CDKN2C,72,1,3,72,TRUE,1,TSG,"glioma, MM",,D
EPS15,72,1,3,72,TRUE,1,"TSG, fusion",ALL,,T
IRF4,72,1,3,72,TRUE,1,"oncogene, TSG, fusion",MM,,T
NIN,72,1,3,72,TRUE,1,fusion,MPN,,T
PML,72,1,4,72,TRUE,1,"TSG, fusion","APL, ALL",,T
RNF43,72,1,3,72,TRUE,1,TSG,"cholangiocarcinoma, ovary, pancreas",,"Mis, N, F, S"
AXIN2,71,1,3,71,TRUE,1,TSG,"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma",colorectal carcinoma,"Mis, F, N"
BCL2,71,1,14,71,TRUE,1,"oncogene, fusion","NHL, CLL",,T
CBLB,71,1,5,71,TRUE,1,TSG,AML,,"Mis, S"
CHD8,71,1,2,71,FALSE,,,,,
COL1A1,71,1,3,71,TRUE,1,fusion,"DFSP, aneurysmal bone cyst",,T
FLI1,71,1,9,71,TRUE,1,"oncogene, fusion",Ewing sarcoma,,T
KDM5A,71,1,5,71,TRUE,1,"oncogene, fusion",AML,,T
KDSR,71,1,14,71,TRUE,1,fusion,B-NHL,,T
KIF5B,71,1,3,71,TRUE,1,fusion,"NSCLC, Spitzoid tumour",,T
KLF6,71,1,3,71,TRUE,1,TSG,"prostate, glioma",,"Mis, N"
MAP2K1,71,1,4,71,TRUE,1,oncogene,"NSCLC, melanoma, colorectal",,Mis
BCL3,70,1,4,70,TRUE,1,"oncogene, fusion",CLL,,T
CBLC,70,1,4,70,TRUE,1,"oncogene, TSG",AML,,M
CEP76,70,1,8,70,FALSE,,,,,
ETNK1,70,1,5,70,TRUE,1,TSG,"aCML, CMML, SM-AHD, HES",,Mis
JAK1,70,1,3,70,TRUE,1,"oncogene, TSG",ALL,,Mis
KCNJ5,70,1,9,70,TRUE,1,oncogene,adrenal adenoma,,Mis
LMO2,70,1,4,70,TRUE,1,"oncogene, fusion",T-ALL,,T
ATR,69,1,5,69,TRUE,1,TSG,"endometrial, gastric, epithelial ovarian, myeloma",oropharyngeal,F; Mis
SFPQ,69,1,2,69,TRUE,1,"TSG, fusion",papillary renal,,T
SPOP,69,1,3,69,TRUE,1,TSG,"prostate, endometrial",prostate cancer,Mis
ZNF180,69,1,4,69,FALSE,,,,,
CIC,68,1,4,68,TRUE,1,"oncogene, TSG, fusion","oligodendroglioma, soft tissue sarcoma",,"Mis, F, S,T"
FOXA1,68,1,2,68,TRUE,1,oncogene,"breast, prostate",,"Mis, F"
