sample,clonality,count,proportion
B_LTX038_SU_T1-R7,subclonal,16,0.35555555555555557
B_LTX043_SU_T1-R1,clonal,6,0.25
B_LTX043_SU_T1-R1,subclonal,18,0.75
B_LTX043_SU_T1-R2,clonal,8,0.8
B_LTX043_SU_T1-R2,subclonal,2,0.2
B_LTX046_SU_T1-R1,clonal,27,0.36
B_LTX046_SU_T1-R1,subclonal,48,0.64
B_LTX046_SU_T1-R2,clonal,14,0.32558139534883723
B_LTX046_SU_T1-R2,subclonal,29,0.6744186046511628
B_LTX046_SU_T1-R3,clonal,15,0.39473684210526316
B_LTX046_SU_T1-R3,subclonal,23,0.6052631578947368
B_LTX046_SU_T1-R4,clonal,13,0.34210526315789475
B_LTX046_SU_T1-R4,subclonal,25,0.6578947368421053
B_LTX048_SU_T1-R1,clonal,5,0.09433962264150944
B_LTX048_SU_T1-R1,subclonal,48,0.9056603773584906
B_LTX048_SU_T1-R2,clonal,5,0.09803921568627451
B_LTX048_SU_T1-R2,subclonal,46,0.9019607843137255
B_LTX048_SU_T1-R3,clonal,5,0.06666666666666667
B_LTX048_SU_T1-R3,subclonal,70,0.9333333333333333
B_LTX048_SU_T1-R4,clonal,5,0.8333333333333334
B_LTX048_SU_T1-R4,subclonal,1,0.16666666666666666
B_LTX059_SU_T1-R1,clonal,5,0.3333333333333333
B_LTX059_SU_T1-R1,subclonal,10,0.6666666666666666
B_LTX059_SU_T1-R2,clonal,4,0.10526315789473684
B_LTX059_SU_T1-R2,subclonal,34,0.8947368421052632
B_LTX059_SU_T1-R3,clonal,4,0.08163265306122448
B_LTX059_SU_T1-R3,subclonal,45,0.9183673469387755
B_LTX059_SU_T1-R4,clonal,5,0.10416666666666667
B_LTX059_SU_T1-R4,subclonal,43,0.8958333333333334
B_LTX065_SU_T1-R1,clonal,19,0.6129032258064516
B_LTX065_SU_T1-R1,subclonal,12,0.3870967741935484
B_LTX065_SU_T1-R2,clonal,17,0.4857142857142857
B_LTX065_SU_T1-R2,subclonal,18,0.5142857142857142
B_LTX065_SU_T1-R3,clonal,21,0.4883720930232558
B_LTX065_SU_T1-R3,subclonal,22,0.5116279069767442
B_LTX070_SU_T1-R1,clonal,71,0.7171717171717171
B_LTX070_SU_T1-R1,subclonal,28,0.2828282828282828
B_LTX070_SU_T1-R2,clonal,64,0.43537414965986393
B_LTX070_SU_T1-R2,subclonal,83,0.564625850340136
B_LTX075_SU_T1-R1,clonal,23,0.9583333333333334
B_LTX075_SU_T1-R1,subclonal,1,0.041666666666666664
B_LTX075_SU_T1-R2,clonal,19,0.9047619047619048
B_LTX075_SU_T1-R2,subclonal,2,0.09523809523809523
B_LTX083_SU_T1-R1,clonal,62,0.6458333333333334
B_LTX083_SU_T1-R1,subclonal,34,0.3541666666666667
B_LTX083_SU_T1-R2,clonal,35,0.6481481481481481
B_LTX083_SU_T1-R2,subclonal,19,0.35185185185185186
B_LTX084_SU_T1-R1,subclonal,47,1
B_LTX084_SU_T1-R2,subclonal,53,1
B_LTX094_SU_T1-R1,subclonal,1,1
B_LTX094_SU_T1-R3,subclonal,14,1
B_LTX099_SU_T1-R1,clonal,5,0.20833333333333334
B_LTX099_SU_T1-R1,subclonal,19,0.7916666666666666
B_LTX099_SU_T1-R2,clonal,5,1
B_LTX100_SU_T1-R1,clonal,20,0.9090909090909091
B_LTX100_SU_T1-R1,subclonal,2,0.09090909090909091
B_LTX100_SU_T1-R2,clonal,21,0.525
B_LTX100_SU_T1-R2,subclonal,19,0.475
B_LTX108_SU_T1-R1,clonal,12,0.34285714285714286
B_LTX108_SU_T1-R1,subclonal,23,0.6571428571428571
B_LTX108_SU_T1-R2,clonal,13,0.5
B_LTX108_SU_T1-R2,subclonal,13,0.5
B_LTX135_SU_LN1,subclonal,6,1
B_LTX135_SU_T1-R1,subclonal,36,1
B_LTX135_SU_T1-R3,subclonal,28,1
B_LTX135_SU_T1-R4,subclonal,27,1
B_LTX136_SU_T1-R1,clonal,58,0.9666666666666667
B_LTX136_SU_T1-R1,subclonal,2,0.03333333333333333
B_LTX136_SU_T1-R2,clonal,60,0.9523809523809523
B_LTX136_SU_T1-R2,subclonal,3,0.047619047619047616
B_LTX136_SU_T1-R3,clonal,74,0.9736842105263158
B_LTX136_SU_T1-R3,subclonal,2,0.02631578947368421
B_LTX160_SU_T1-R1,clonal,11,0.3793103448275862
B_LTX160_SU_T1-R1,subclonal,18,0.6206896551724138
B_LTX160_SU_T1-R2,clonal,19,0.40425531914893614
B_LTX160_SU_T1-R2,subclonal,28,0.5957446808510638
B_LTX160_SU_T1-R3,clonal,15,0.375
B_LTX160_SU_T1-R3,subclonal,25,0.625
B_LTX160_SU_T1-R4,clonal,12,0.375
B_LTX160_SU_T1-R4,subclonal,20,0.625
B_LTX163_SU_T1-R1,clonal,16,0.38095238095238093
B_LTX163_SU_T1-R1,subclonal,26,0.6190476190476191
B_LTX163_SU_T1-R2,clonal,7,0.3684210526315789
B_LTX163_SU_T1-R2,subclonal,12,0.631578947368421
B_LTX163_SU_T1-R3,clonal,12,0.2608695652173913
B_LTX163_SU_T1-R3,subclonal,34,0.7391304347826086
B_LTX164_SU_T1-R1,clonal,8,0.6666666666666666
B_LTX164_SU_T1-R1,subclonal,4,0.3333333333333333
B_LTX164_SU_T1-R2,clonal,6,0.35294117647058826
B_LTX164_SU_T1-R2,subclonal,11,0.6470588235294118
B_LTX165_SU_T1-R1,clonal,38,0.8085106382978723
B_LTX165_SU_T1-R1,subclonal,9,0.19148936170212766
B_LTX165_SU_T1-R2,clonal,32,0.7441860465116279
B_LTX165_SU_T1-R2,subclonal,11,0.2558139534883721
B_LTX165_SU_T1-R3,clonal,30,0.75
B_LTX165_SU_T1-R3,subclonal,10,0.25
B_LTX165_SU_T1-R4,clonal,33,0.8461538461538461
B_LTX165_SU_T1-R4,subclonal,6,0.15384615384615385
B_LTX193_SU_T1-R1,clonal,16,0.26229508196721313
B_LTX193_SU_T1-R1,none,1,0.01639344262295082
B_LTX193_SU_T1-R1,subclonal,44,0.7213114754098361
B_LTX193_SU_T1-R2,clonal,27,0.7105263157894737
B_LTX193_SU_T1-R2,subclonal,11,0.2894736842105263
B_LTX208_SU_T1-R1,clonal,6,0.09375
B_LTX208_SU_T1-R1,subclonal,58,0.90625
B_LTX208_SU_T1-R2,clonal,6,0.12
B_LTX208_SU_T1-R2,subclonal,44,0.88
B_LTX208_SU_T1-R3,clonal,5,1
B_LTX223_SU_T1-R1,clonal,8,0.5333333333333333
B_LTX223_SU_T1-R1,subclonal,7,0.4666666666666667
B_LTX223_SU_T1-R2,clonal,8,0.7272727272727273
B_LTX223_SU_T1-R2,subclonal,3,0.2727272727272727
B_LTX223_SU_T1-R3,clonal,9,0.6923076923076923
B_LTX223_SU_T1-R3,subclonal,4,0.3076923076923077
B_LTX223_SU_T1-R4,clonal,7,0.5
B_LTX223_SU_T1-R4,subclonal,7,0.5
B_LTX223_SU_T1-R5,clonal,7,0.7
B_LTX223_SU_T1-R5,subclonal,3,0.3
B_LTX227_SU_T1-R1,clonal,29,0.9666666666666667
B_LTX227_SU_T1-R1,subclonal,1,0.03333333333333333
B_LTX227_SU_T1-R2,clonal,24,0.8275862068965517
B_LTX227_SU_T1-R2,subclonal,5,0.1724137931034483
B_LTX227_SU_T1-R3,clonal,25,0.9615384615384616
B_LTX227_SU_T1-R3,subclonal,1,0.038461538461538464
B_LTX227_SU_T1-R4,clonal,23,0.9583333333333334
B_LTX227_SU_T1-R4,subclonal,1,0.041666666666666664
C_LTX252_SU_T1-R1,clonal,6,0.24
C_LTX252_SU_T1-R1,subclonal,19,0.76
C_LTX252_SU_T1-R2,clonal,6,1
L_LTX037_SU_T1-R1,clonal,5,0.38461538461538464
L_LTX037_SU_T1-R1,subclonal,8,0.6153846153846154
L_LTX037_SU_T1-R2,clonal,5,0.5555555555555556
L_LTX037_SU_T1-R2,subclonal,4,0.4444444444444444
L_LTX041_SU_T1-R1,clonal,12,0.5217391304347826
L_LTX041_SU_T1-R1,subclonal,11,0.4782608695652174
L_LTX041_SU_T1-R2,clonal,8,0.2222222222222222
L_LTX041_SU_T1-R2,subclonal,28,0.7777777777777778
L_LTX041_SU_T1-R3,clonal,6,0.125
L_LTX041_SU_T1-R3,subclonal,42,0.875
L_LTX041_SU_T1-R4,clonal,6,0.18181818181818182
L_LTX041_SU_T1-R4,subclonal,27,0.8181818181818182
L_LTX050_SU_T1-R1,subclonal,15,1
L_LTX050_SU_T1-R2,subclonal,16,1
L_LTX050_SU_T1-R3,subclonal,17,1
L_LTX050_SU_T1-R4,subclonal,14,1
L_LTX050_SU_T1-R6,subclonal,15,1
L_LTX062_SU_T1-R1,clonal,17,0.68
L_LTX062_SU_T1-R1,subclonal,8,0.32
L_LTX062_SU_T1-R2,clonal,22,0.7857142857142857
L_LTX062_SU_T1-R2,subclonal,6,0.21428571428571427
L_LTX062_SU_T1-R3,clonal,14,0.56
L_LTX062_SU_T1-R3,subclonal,11,0.44
L_LTX062_SU_T1-R4,clonal,16,0.5
L_LTX062_SU_T1-R4,subclonal,16,0.5
L_LTX064_SU_T1-R1,clonal,40,0.42105263157894735
L_LTX064_SU_T1-R1,subclonal,55,0.5789473684210527
L_LTX064_SU_T1-R2,clonal,36,0.41379310344827586
L_LTX064_SU_T1-R2,subclonal,51,0.5862068965517241
L_LTX064_SU_T1-R3,clonal,48,0.4528301886792453
L_LTX064_SU_T1-R3,subclonal,58,0.5471698113207547
L_LTX064_SU_T1-R4,clonal,38,0.336283185840708
L_LTX064_SU_T1-R4,subclonal,75,0.6637168141592921
L_LTX064_SU_T1-R5,clonal,29,0.3670886075949367
L_LTX064_SU_T1-R5,subclonal,50,0.6329113924050633
L_LTX064_SU_T1-R6,clonal,25,0.46296296296296297
L_LTX064_SU_T1-R6,subclonal,29,0.5370370370370371
L_LTX064_SU_T1-R7,clonal,21,0.22340425531914893
L_LTX064_SU_T1-R7,subclonal,73,0.776595744680851
L_LTX068_SU_T1-R1,subclonal,49,1
L_LTX068_SU_T1-R2,subclonal,46,1
L_LTX068_SU_T1-R3,subclonal,30,1
L_LTX068_SU_T1-R4,subclonal,45,1
L_LTX068_SU_T1-R5,subclonal,18,1
L_LTX068_SU_T1-R6,clonal,1,0.14285714285714285
L_LTX068_SU_T1-R6,subclonal,6,0.8571428571428571
L_LTX072_SU_T1-R1,clonal,5,0.2631578947368421
L_LTX072_SU_T1-R1,subclonal,14,0.7368421052631579
L_LTX072_SU_T1-R2,clonal,5,0.8333333333333334
L_LTX072_SU_T1-R2,subclonal,1,0.16666666666666666
L_LTX079_SU_T1-R1,subclonal,25,1
L_LTX079_SU_T1-R3,subclonal,7,1
L_LTX090_SU_T1-R1,clonal,14,1
L_LTX090_SU_T1-R2,clonal,11,0.9166666666666666
L_LTX090_SU_T1-R2,subclonal,1,0.08333333333333333
L_LTX104_SU_T1-R1,clonal,10,1
L_LTX104_SU_T1-R2,clonal,10,1
L_LTX104_SU_T1-R3,clonal,9,1
L_LTX110_SU_LN1,clonal,5,0.7142857142857143
L_LTX110_SU_LN1,subclonal,2,0.2857142857142857
L_LTX110_SU_LN2,clonal,5,0.7142857142857143
L_LTX110_SU_LN2,subclonal,2,0.2857142857142857
L_LTX110_SU_T1-R1,clonal,5,0.7142857142857143
L_LTX110_SU_T1-R1,subclonal,2,0.2857142857142857
L_LTX110_SU_T1-R2,clonal,5,0.12195121951219512
L_LTX110_SU_T1-R2,subclonal,36,0.8780487804878049
L_LTX113_SU_LN1,clonal,1,0.25
L_LTX113_SU_LN1,subclonal,3,0.75
L_LTX113_SU_T1-R1,clonal,1,0.047619047619047616
L_LTX113_SU_T1-R1,subclonal,20,0.9523809523809523
L_LTX113_SU_T1-R2,clonal,1,0.06666666666666667
L_LTX113_SU_T1-R2,subclonal,14,0.9333333333333333
L_LTX113_SU_T1-R3,clonal,1,0.06666666666666667
L_LTX113_SU_T1-R3,subclonal,14,0.9333333333333333
L_LTX113_SU_T1-R4,clonal,1,0.047619047619047616
L_LTX113_SU_T1-R4,subclonal,20,0.9523809523809523
L_LTX113_SU_T1-R5,clonal,1,0.058823529411764705
L_LTX113_SU_T1-R5,subclonal,16,0.9411764705882353
L_LTX113_SU_T1-R6,clonal,1,0.05555555555555555
L_LTX113_SU_T1-R6,subclonal,17,0.9444444444444444
L_LTX113_SU_T1-R7,clonal,1,0.07692307692307693
L_LTX113_SU_T1-R7,subclonal,12,0.9230769230769231
L_LTX113_SU_T1-R8,clonal,1,0.125
L_LTX113_SU_T1-R8,subclonal,7,0.875
L_LTX115_SU_T1-R1,clonal,5,0.3333333333333333
L_LTX115_SU_T1-R1,subclonal,10,0.6666666666666666
L_LTX115_SU_T1-R2,clonal,5,0.4166666666666667
L_LTX115_SU_T1-R2,subclonal,7,0.5833333333333334
L_LTX115_SU_T2-R1,clonal,5,0.1111111111111111
L_LTX115_SU_T2-R1,subclonal,40,0.8888888888888888
L_LTX115_SU_T2-R2,clonal,5,0.10638297872340426
L_LTX115_SU_T2-R2,subclonal,42,0.8936170212765957
L_LTX115_SU_T2-R3,clonal,5,0.09615384615384616
L_LTX115_SU_T2-R3,subclonal,47,0.9038461538461539
L_LTX119_SU_T1-R1,clonal,8,0.5
