sample,category,fragment_count,total_fragment_size_bp,total_fragment_size_mb
A_LTX102_SU_T1-R2,6,0,0,0
A_LTX102_SU_T1-R2,7,0,0,0
A_LTX102_SU_T1-R2,8,0,0,0
A_LTX102_SU_T1-R3,1,2,3550372,3.550372
A_LTX102_SU_T1-R3,2,16,220285866,220.285866
A_LTX102_SU_T1-R3,3,3,55306384,55.306384
A_LTX102_SU_T1-R3,4,2,144311702,144.311702
A_LTX102_SU_T1-R3,5,0,0,0
A_LTX102_SU_T1-R3,6,0,0,0
A_LTX102_SU_T1-R3,7,0,0,0
A_LTX102_SU_T1-R3,8,0,0,0
A_LTX102_SU_T1-R4,1,1,4699816,4.699816
A_LTX102_SU_T1-R4,2,11,203722010,203.72201
A_LTX102_SU_T1-R4,3,3,2514405,2.514405
A_LTX102_SU_T1-R4,4,0,0,0
A_LTX102_SU_T1-R4,5,2,287,2.87e-4
A_LTX102_SU_T1-R4,6,2,144311702,144.311702
A_LTX102_SU_T1-R4,7,0,0,0
A_LTX102_SU_T1-R4,8,0,0,0
A_LTX109_SU_T1-R1,1,0,0,0
A_LTX109_SU_T1-R1,2,0,0,0
A_LTX109_SU_T1-R1,3,17,326800550,326.80055
A_LTX109_SU_T1-R1,4,0,0,0
A_LTX109_SU_T1-R1,5,0,0,0
A_LTX109_SU_T1-R1,6,5,132817572,132.817572
A_LTX109_SU_T1-R1,7,0,0,0
A_LTX109_SU_T1-R1,8,1,129435,0.129435
A_LTX109_SU_T1-R2,1,0,0,0
A_LTX109_SU_T1-R2,2,0,0,0
A_LTX109_SU_T1-R2,3,22,327962941,327.962941
A_LTX109_SU_T1-R2,4,0,0,0
A_LTX109_SU_T1-R2,5,0,0,0
A_LTX109_SU_T1-R2,6,4,132659055,132.659055
A_LTX109_SU_T1-R2,7,1,129435,0.129435
A_LTX109_SU_T1-R2,8,1,148106,0.148106
A_LTX109_SU_T1-R3,1,0,0,0
A_LTX109_SU_T1-R3,2,0,0,0
A_LTX109_SU_T1-R3,3,19,331931923,331.931923
A_LTX109_SU_T1-R3,4,0,0,0
A_LTX109_SU_T1-R3,5,0,0,0
A_LTX109_SU_T1-R3,6,3,132659055,132.659055
A_LTX109_SU_T1-R3,7,1,0,0
A_LTX109_SU_T1-R3,8,1,129435,0.129435
A_LTX109_SU_T1-R4,1,0,0,0
A_LTX109_SU_T1-R4,2,1,305,3.05e-4
A_LTX109_SU_T1-R4,3,17,333067734,333.067734
A_LTX109_SU_T1-R4,4,0,0,0
A_LTX109_SU_T1-R4,5,0,0,0
A_LTX109_SU_T1-R4,6,3,132659055,132.659055
A_LTX109_SU_T1-R4,7,1,0,0
A_LTX109_SU_T1-R4,8,1,129435,0.129435
A_LTX109_SU_T1-R5,1,11,6611298,6.611298
A_LTX109_SU_T1-R5,2,24,19726000,19.726
A_LTX109_SU_T1-R5,3,26,327844984,327.844984
A_LTX109_SU_T1-R5,4,1,940658,0.940658
A_LTX109_SU_T1-R5,5,0,0,0
A_LTX109_SU_T1-R5,6,4,133038609,133.038609
A_LTX109_SU_T1-R5,7,0,0,0
A_LTX109_SU_T1-R5,8,2,129435,0.129435
A_LTX121_SU_T1-R1,1,0,0,0
A_LTX121_SU_T1-R1,2,5,35914201,35.914201
A_LTX121_SU_T1-R1,3,38,922171693,922.171693
A_LTX121_SU_T1-R1,4,18,158346485,158.346485
A_LTX121_SU_T1-R1,5,3,44759802,44.759802
A_LTX121_SU_T1-R1,6,0,0,0
A_LTX121_SU_T1-R1,7,0,0,0
A_LTX121_SU_T1-R1,8,5,113461835,113.461835
A_LTX121_SU_T1-R2,1,1,276717,0.276717
A_LTX121_SU_T1-R2,2,4,75591485,75.591485
A_LTX121_SU_T1-R2,3,26,906497729,906.497729
A_LTX121_SU_T1-R2,4,7,127302554,127.302554
A_LTX121_SU_T1-R2,5,4,145837874,145.837874
A_LTX121_SU_T1-R2,6,1,12549930,12.54993
A_LTX121_SU_T1-R2,7,0,0,0
A_LTX121_SU_T1-R2,8,0,0,0
A_LTX125_SU_LN1,1,2,626593,0.626593
A_LTX125_SU_LN1,2,9,15594784,15.594784
A_LTX125_SU_LN1,3,4,10625668,10.625668
A_LTX125_SU_LN1,4,0,0,0
A_LTX125_SU_LN1,5,0,0,0
A_LTX125_SU_LN1,6,0,0,0
A_LTX125_SU_LN1,7,0,0,0
A_LTX125_SU_LN1,8,0,0,0
A_LTX125_SU_LN2,1,1,13566,0.013566
A_LTX125_SU_LN2,2,7,25037601,25.037601
A_LTX125_SU_LN2,3,7,22035586,22.035586
A_LTX125_SU_LN2,4,0,0,0
A_LTX125_SU_LN2,5,0,0,0
A_LTX125_SU_LN2,6,0,0,0
A_LTX125_SU_LN2,7,0,0,0
A_LTX125_SU_LN2,8,0,0,0
A_LTX125_SU_T1-R1,1,0,0,0
A_LTX125_SU_T1-R1,2,14,337009629,337.009629
A_LTX125_SU_T1-R1,3,0,0,0
A_LTX125_SU_T1-R1,4,0,0,0
A_LTX125_SU_T1-R1,5,0,0,0
A_LTX125_SU_T1-R1,6,0,0,0
A_LTX125_SU_T1-R1,7,0,0,0
A_LTX125_SU_T1-R1,8,0,0,0
A_LTX125_SU_T1-R2,1,1,246,2.46e-4
A_LTX125_SU_T1-R2,2,19,342688521,342.688521
A_LTX125_SU_T1-R2,3,2,1485621,1.485621
A_LTX125_SU_T1-R2,4,1,42146,0.042146
A_LTX125_SU_T1-R2,5,0,0,0
A_LTX125_SU_T1-R2,6,0,0,0
A_LTX125_SU_T1-R2,7,0,0,0
A_LTX125_SU_T1-R2,8,0,0,0
